StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q12,Q13,1/5_1,1/5_2,1/5_3,1/5_4,1/5_5,1/5_6,1/5_7,1/5_8,2/5_1,2/5_2,2/5_3,2/5_4,2/5_5,3/5_1,QID7_1,4/5_1,4/5_2,4/5_3,4/5_4,4/5_5,4/5_6,4/5_7,4/5_8,4/5_9,4/5_10,4/5_11,4/5_12,4/5_13,4/5_14,4/5_15,4/5_16,4/5_17,4/5_18,4/5_19,4/5_20,5/5_1,5/5_2,5/5_3,5/5_4,5/5_5,5/5_6,5/5_7,5/5_8,5/5_9,5/5_10,5/5_11,5/5_12,5/5_13,5/5_14,5/5_15,5/5_16,5/5_17,5/5_18,5/5_19,5/5_20
2024/6/12 16:34,2024/6/12 16:42,0,,100,502,1,2024/6/12 16:42,R_4SHx3Dcrz81ZVYK,,,,,36.6125,136.6089,anonymous,JA,1,9,4,4,3,4,2,3,3,2,3,3,4,2,2,2,5,3,1,1,2,1,2,2,3,1,1,2,2,3,1,2,2,1,3,1,2,3,4,4,3,3,2,4,2,4,3,2,2,4,4,2,2,2,1,2,4
2024/6/12 16:55,2024/6/12 17:05,0,,100,639,1,2024/6/12 17:05,R_4vAtSeGMW3Ylmgx,,,,,36.6125,136.6089,anonymous,JA,1,10,4,2,4,3,3,1,3,3,3,4,3,2,3,5,5,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,3,2,2,1,5,2,1,2,2,1,4,3,2,4,2,2,1,1,2,2
2024/6/13 11:06,2024/6/13 11:13,0,,100,437,1,2024/6/13 11:13,R_43kAdx4hvoMCSNz,,,,,36.6125,136.6089,anonymous,JA,1,11,4,2,5,2,4,1,4,4,5,4,4,4,5,6,7,2,1,2,3,2,2,3,2,1,1,1,3,1,2,4,1,1,2,1,2,2,3,2,2,4,1,2,2,2,2,1,2,2,4,3,3,2,3,3,3
2024/6/13 13:42,2024/6/13 13:47,0,,100,293,1,2024/6/13 13:47,R_4G7cCuAF0ijcjRi,,,,,36.6125,136.6089,anonymous,JA,3,12,3,4,4,2,3,1,4,3,4,2,4,1,4,5,5,1,3,4,1,1,4,1,1,1,1,5,2,1,4,1,1,1,1,3,1,2,4,2,1,5,5,4,1,5,2,3,2,4,5,2,4,3,3,1,3
2024/6/13 14:49,2024/6/13 14:53,0,,100,230,1,2024/6/13 14:53,R_4E1QkowNoSkgh7r,,,,,36.6125,136.6089,anonymous,JA,4,13,2,4,4,5,4,2,1,3,2,1,1,1,1,5,5,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,5,1,1,3,5,1,4,1,4,4,1,1,1,2,1,1
2024/6/13 15:35,2024/6/13 15:42,0,,100,436,1,2024/6/13 15:42,R_4OJCFN0OFGlNR4r,,,,,36.6125,136.6089,anonymous,JA,3,14,2,2,4,3,2,1,2,4,2,4,3,2,1,2,3,2,1,2,2,1,1,1,1,1,1,1,2,1,2,1,1,1,3,1,2,2,1,3,2,2,1,1,1,4,1,2,1,2,2,1,1,1,1,1,2
2024/6/13 16:21,2024/6/13 16:45,0,,100,1391,1,2024/6/13 16:45,R_4fdeFjQJng5scr3,,,,,36.6125,136.6089,anonymous,JA,4,15,4,2,2,4,4,4,3,4,4,5,5,5,5,5,5,4,2,4,4,2,4,4,2,4,4,2,2,4,4,2,4,4,2,2,4,4,1,4,4,5,1,1,1,5,1,5,1,1,1,1,2,2,1,2,4
2024/6/14 9:54,2024/6/14 10:02,0,,100,450,1,2024/6/14 10:02,R_4KQ5eYcw8UFR2Eo,,,,,36.6125,136.6089,anonymous,JA,2,16,4,2,5,4,4,2,3,4,4,4,3,4,3,5,6,3,2,2,2,3,3,2,2,1,1,2,2,1,2,2,2,1,4,2,3,3,5,3,2,2,2,4,3,3,4,2,5,2,3,5,3,3,2,2,4
2024/6/14 10:37,2024/6/14 10:45,0,,100,477,1,2024/6/14 10:45,R_4OuTASGbxbqr2jU,,,,,36.6125,136.6089,anonymous,JA,2,17,4,1,5,1,4,1,4,4,5,5,5,4,5,6,7,3,1,4,3,1,2,1,1,1,1,1,2,2,1,2,1,1,2,1,2,1,1,2,1,5,1,1,2,5,2,4,3,4,1,2,2,1,2,2,4
2024/6/14 11:02,2024/6/14 11:06,0,,100,238,1,2024/6/14 11:06,R_4n8FY5aag3zXVGH,,,,,36.6125,136.6089,anonymous,JA,2,18,5,2,5,2,5,1,5,5,4,4,4,4,4,5,6,1,1,4,4,2,3,2,2,2,2,4,2,4,2,2,2,4,1,1,2,2,1,1,2,5,4,1,1,5,1,5,4,4,5,2,2,2,2,2,3
2024/6/14 11:42,2024/6/14 11:52,0,,100,592,1,2024/6/14 11:52,R_49QSRSy6LSJ5XRD,,,,,36.6125,136.6089,anonymous,JA,1,19,2,4,3,5,2,3,3,3,2,3,4,2,3,6,5,2,2,3,3,3,2,2,2,1,2,2,3,1,2,1,2,3,4,2,3,4,4,3,2,4,4,2,3,4,2,2,5,3,3,4,2,3,3,2,3
2024/6/14 13:35,2024/6/14 13:42,0,,100,433,1,2024/6/14 13:42,R_4COm2IlKAl3Wb5X,,,,,36.6125,136.6089,anonymous,JA,2,20,4,4,5,5,4,2,2,3,3,5,5,3,2,5,6,1,1,2,3,1,3,1,1,1,1,3,4,1,2,3,1,1,2,2,2,4,2,1,1,4,1,2,1,4,2,3,4,2,3,3,3,2,2,1,4
2024/6/14 14:02,2024/6/14 14:08,0,,100,357,1,2024/6/14 14:08,R_4Btx0ZTNBt8BCPR,,,,,36.6125,136.6089,anonymous,JA,1,21,2,2,2,3,2,2,2,4,4,2,4,2,4,5,5,1,1,2,1,1,1,1,1,1,1,1,1,5,1,4,2,1,5,1,5,5,5,5,4,2,3,4,4,2,4,2,4,4,4,4,4,4,2,4,4
2024/6/14 14:20,2024/6/14 14:29,0,,100,510,1,2024/6/14 14:29,R_40ZoyX97QPW5deJ,,,,,36.6125,136.6089,anonymous,JA,2,22,3,4,4,4,4,2,4,4,5,4,5,4,1,5,5,1,2,1,1,1,2,3,1,1,1,2,1,3,1,2,1,1,3,1,2,5,2,2,1,1,2,1,1,5,2,3,2,3,3,2,2,1,1,1,2
2024/6/14 14:38,2024/6/14 14:49,0,,100,641,1,2024/6/14 14:49,R_4D80H9NrhQ1r3Bk,,,,,36.6125,136.6089,anonymous,JA,2,23,2,2,1,5,4,1,4,1,4,1,1,1,2,3,3,4,1,5,1,1,2,1,2,1,1,4,1,4,1,2,1,1,5,1,4,2,1,2,1,4,4,1,3,5,1,4,1,5,5,4,4,1,1,1,1
2024/6/14 15:23,2024/6/14 15:31,0,,100,465,1,2024/6/14 15:31,R_4QrCTceE19TfNuA,,,,,36.6125,136.6089,anonymous,JA,1,24,4,3,5,3,5,1,2,3,5,2,2,1,4,5,5,1,2,3,1,1,2,2,3,2,1,3,3,2,3,4,2,1,1,1,2,4,2,1,1,5,1,2,1,1,1,4,1,2,4,2,1,1,2,1,1
2024/6/14 16:06,2024/6/14 16:17,0,,100,674,1,2024/6/14 16:17,R_4cRk4mvlhM21zBT,,,,,36.6125,136.6089,anonymous,JA,1,25,4,2,4,4,4,2,2,4,4,2,2,2,2,6,6,4,3,3,3,2,4,1,1,1,1,3,2,4,2,3,4,2,4,1,5,4,2,5,1,4,2,2,3,2,1,3,4,4,3,4,4,2,1,2,3
2024/6/14 16:34,2024/6/14 16:44,0,,100,613,1,2024/6/14 16:44,R_4WZ80fLuMWDZ8Rv,,,,,36.6125,136.6089,anonymous,JA,2,26,5,3,4,2,4,1,4,4,4,4,4,4,3,6,6,5,1,3,2,1,1,3,2,1,1,1,2,3,1,3,1,2,5,1,2,3,4,3,2,5,2,3,4,2,3,3,2,2,3,1,4,1,3,3,3
2024/6/17 9:23,2024/6/17 9:30,0,,100,388,1,2024/6/17 9:30,R_4NbGlrU0D71qCo9,,,,,36.6125,136.6089,anonymous,JA,1,27,4,2,4,3,4,2,3,4,4,4,5,5,4,5,5,3,4,3,4,4,4,2,4,3,4,4,4,4,3,4,3,3,5,2,5,4,4,4,3,3,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4
2024/6/17 9:53,2024/6/17 10:01,0,,100,474,1,2024/6/17 10:01,R_4hloW1KgvQCNOHa,,,,,36.6125,136.6089,anonymous,JA,2,28,4,3,4,2,4,2,4,4,4,4,4,4,4,3,5,2,1,1,1,1,2,2,2,1,1,2,1,1,1,2,1,1,2,1,2,2,2,2,1,1,1,1,1,2,1,2,1,1,2,2,2,2,1,1,2
2024/6/17 10:47,2024/6/17 10:53,0,,100,341,1,2024/6/17 10:53,R_4v31kx9WDL6jrZw,,,,,36.6125,136.6089,anonymous,JA,1,29,4,1,5,4,5,1,4,5,4,3,5,2,4,5,6,2,1,4,5,2,5,2,3,1,1,5,4,5,1,5,4,2,5,1,5,4,4,5,5,2,4,5,3,1,4,1,2,4,3,4,5,4,4,5,5
2024/6/17 11:19,2024/6/17 11:26,0,,100,444,1,2024/6/17 11:26,R_4swdxnuE05eun7P,,,,,36.6125,136.6089,anonymous,JA,1,30,4,4,5,2,2,4,4,4,5,4,2,4,4,5,6,2,2,4,2,2,2,2,2,4,2,2,4,4,4,4,2,2,5,5,5,5,2,4,2,4,2,4,2,5,1,5,2,2,5,4,2,2,2,2,5
2024/6/17 13:41,2024/6/17 13:52,0,,100,657,1,2024/6/17 13:52,R_4N4j8F2EjfO7tqv,,,,,36.6125,136.6089,anonymous,JA,2,31,4,3,3,5,4,2,3,4,4,4,5,2,1,6,5,5,1,4,3,5,3,5,2,3,4,4,5,4,5,5,1,2,5,3,5,5,4,4,4,5,4,4,5,1,5,2,4,3,5,4,4,5,4,5,4
2024/6/17 14:17,2024/6/17 14:25,0,,100,473,1,2024/6/17 14:25,R_4Pj10OS0cFhF9p7,,,,,36.6125,136.6089,anonymous,JA,1,32,4,2,5,3,4,1,5,4,2,4,4,3,4,5,6,1,2,3,1,1,3,2,3,1,2,3,3,3,2,3,1,2,3,1,4,2,3,3,1,4,2,2,2,3,2,3,2,4,4,2,5,3,3,3,4
2024/6/17 15:10,2024/6/17 15:20,0,,100,573,1,2024/6/17 15:20,R_4oA3hLsxh2mmYYV,,,,,36.6125,136.6089,anonymous,JA,2,33,1,1,1,5,1,3,1,2,2,2,2,2,1,7,6,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,3,1,2,2,1,2,1,5,1,2,1,4,2,2,2,2,2,1,2,1,1,1,2
2024/6/18 9:27,2024/6/18 9:38,0,,100,672,1,2024/6/18 9:38,R_48Y71adGQnuq5sM,,,,,36.6125,136.6089,anonymous,JA,1,34,3,2,3,2,3,2,3,3,2,4,4,2,4,3,3,4,5,4,4,3,4,3,4,3,4,4,4,3,3,5,4,3,4,3,4,4,3,3,2,2,4,2,4,3,3,2,4,2,5,4,3,4,3,4,3
2024/6/18 10:03,2024/6/18 10:10,0,,100,414,1,2024/6/18 10:10,R_4A6BDHK6nCOXNPH,,,,,36.6125,136.6089,anonymous,JA,1,35,4,4,4,5,3,1,2,3,4,5,5,4,2,5,3,1,2,3,2,2,2,1,3,1,2,4,3,3,1,2,2,2,4,1,3,3,3,2,1,2,2,4,3,2,3,2,2,1,2,3,5,1,1,3,4
2024/6/18 10:44,2024/6/18 10:51,0,,100,410,1,2024/6/18 10:51,R_4ZHrGCSyzsYsidG,,,,,36.6125,136.6089,anonymous,JA,2,36,5,1,5,1,5,2,4,5,4,5,5,5,5,6,7,5,1,5,1,1,5,1,5,1,5,5,1,1,1,1,1,1,1,1,5,1,4,5,1,3,5,3,1,1,3,3,1,1,5,1,5,1,5,5,5
2024/6/18 11:27,2024/6/18 11:36,0,,100,508,1,2024/6/18 11:36,R_4O8qdyLP9fq6zqA,,,,,36.6125,136.6089,anonymous,JA,2,37,4,1,5,1,4,2,4,4,3,5,5,4,2,5,6,4,1,1,1,1,1,1,3,1,3,2,2,2,1,1,1,1,2,1,2,4,4,5,2,4,4,1,3,3,4,2,5,5,5,2,4,3,1,2,4
2024/6/18 13:39,2024/6/18 13:46,0,,100,404,1,2024/6/18 13:46,R_4n0LCsnugHLuwgr,,,,,36.6125,136.6089,anonymous,JA,1,38,2,3,4,4,2,1,2,1,4,4,5,3,1,5,6,4,2,2,4,4,2,5,2,2,4,5,5,5,4,2,1,1,4,5,5,5,2,5,2,5,4,2,3,3,3,4,4,3,2,4,5,4,3,1,3
2024/6/18 14:04,2024/6/18 14:11,0,,100,440,1,2024/6/18 14:11,R_4V0v9GhOeUUi1O1,,,,,36.6125,136.6089,anonymous,JA,2,39,5,1,5,1,4,2,4,4,4,5,5,4,3,5,5,3,1,2,1,1,2,1,3,1,1,4,2,3,2,3,2,2,3,2,2,3,4,3,1,5,4,1,2,2,2,5,4,4,4,3,2,1,1,2,4
2024/6/18 17:32,2024/6/18 17:39,0,,100,436,1,2024/6/18 17:39,R_4PiVdV0IRYFdQIS,,,,,36.6125,136.6089,anonymous,JA,3,40,4,2,2,2,4,3,2,4,2,4,1,2,2,2,5,4,3,4,4,4,5,3,3,1,3,4,2,3,4,3,4,2,5,5,5,3,1,5,1,5,4,3,2,2,5,3,4,4,2,4,2,4,2,3,5
2024/6/19 13:06,2024/6/19 13:10,0,,100,241,1,2024/6/19 13:11,R_4Oel4g3QrWofU0m,,,,,36.6125,136.6089,anonymous,JA,1,41,2,4,1,4,2,4,2,1,5,2,4,1,1,5,5,3,2,1,1,2,4,2,2,2,1,1,3,3,4,3,2,1,1,1,1,2,1,3,1,4,2,1,3,1,1,5,4,1,1,3,4,1,4,2,4
2024/6/19 14:49,2024/6/19 15:04,0,,100,877,1,2024/6/19 15:04,R_4sSFhljQAEqeszy,,,,,36.6125,136.6089,anonymous,JA,2,42,2,2,2,3,1,2,1,1,4,5,2,4,2,6,5,1,1,2,1,1,3,1,4,1,1,1,4,1,2,2,1,1,5,2,4,2,5,2,3,4,1,5,2,4,4,2,1,1,4,5,5,2,5,1,5
2024/6/19 15:22,2024/6/19 15:29,0,,100,388,1,2024/6/19 15:29,R_4nacxiDJx2X3hOp,,,,,36.6125,136.6089,anonymous,JA,2,43,2,2,2,4,2,4,2,3,2,4,4,4,1,4,2,4,2,1,3,1,4,1,4,1,2,4,5,5,4,4,3,3,4,1,4,3,2,4,5,1,5,5,5,1,2,1,4,4,4,4,4,4,4,4,4
2024/6/19 15:46,2024/6/19 15:54,0,,100,478,1,2024/6/19 15:54,R_4pVx9roDEm5hzeT,,,,,36.6125,136.6089,anonymous,JA,1,44,1,5,1,5,1,4,1,1,4,1,1,1,1,5,5,1,1,4,1,1,1,2,1,1,1,1,4,4,1,1,1,1,4,1,1,1,1,1,2,4,1,1,1,5,1,4,1,2,4,1,2,1,2,2,1
