Q12,Q13,1/5_1,1/5_2,1/5_3,1/5_4,1/5_5,1/5_6,1/5_7,1/5_8,2/5_1,2/5_2,2/5_3,2/5_4,2/5_5,3/5_1,QID7_1,4/5_1,4/5_2,4/5_3,4/5_4,4/5_5,4/5_6,4/5_7,4/5_8,4/5_9,4/5_10,4/5_11,4/5_12,4/5_13,4/5_14,4/5_15,4/5_16,4/5_17,4/5_18,4/5_19,4/5_20,5/5_1,5/5_2,5/5_3,5/5_4,5/5_5,5/5_6,5/5_7,5/5_8,5/5_9,5/5_10,5/5_11,5/5_12,5/5_13,5/5_14,5/5_15,5/5_16,5/5_17,5/5_18,5/5_19,5/5_20
3,12,3,4,4,2,3,1,4,3,4,2,4,1,4,5,5,1,3,4,1,1,4,1,1,1,1,5,2,1,4,1,1,1,1,3,1,2,4,2,1,5,5,4,1,5,2,3,2,4,5,2,4,3,3,1,3
4,13,2,4,4,5,4,2,1,3,2,1,1,1,1,5,5,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,5,1,1,3,5,1,4,1,4,4,1,1,1,2,1,1
3,14,2,2,4,3,2,1,2,4,2,4,3,2,1,2,3,2,1,2,2,1,1,1,1,1,1,1,2,1,2,1,1,1,3,1,2,2,1,3,2,2,1,1,1,4,1,2,1,2,2,1,1,1,1,1,2
4,15,4,2,2,4,4,4,3,4,4,5,5,5,5,5,5,4,2,4,4,2,4,4,2,4,4,2,2,4,4,2,4,4,2,2,4,4,1,4,4,5,1,1,1,5,1,5,1,1,1,1,2,2,1,2,4
2,16,4,2,5,4,4,2,3,4,4,4,3,4,3,5,6,3,2,2,2,3,3,2,2,1,1,2,2,1,2,2,2,1,4,2,3,3,5,3,2,2,2,4,3,3,4,2,5,2,3,5,3,3,2,2,4
2,17,4,1,5,1,4,1,4,4,5,5,5,4,5,6,7,3,1,4,3,1,2,1,1,1,1,1,2,2,1,2,1,1,2,1,2,1,1,2,1,5,1,1,2,5,2,4,3,4,1,2,2,1,2,2,4
2,18,5,2,5,2,5,1,5,5,4,4,4,4,4,5,6,1,1,4,4,2,3,2,2,2,2,4,2,4,2,2,2,4,1,1,2,2,1,1,2,5,4,1,1,5,1,5,4,4,5,2,2,2,2,2,3
1,19,2,4,3,5,2,3,3,3,2,3,4,2,3,6,5,2,2,3,3,3,2,2,2,1,2,2,3,1,2,1,2,3,4,2,3,4,4,3,2,4,4,2,3,4,2,2,5,3,3,4,2,3,3,2,3
2,20,4,4,5,5,4,2,2,3,3,5,5,3,2,5,6,1,1,2,3,1,3,1,1,1,1,3,4,1,2,3,1,1,2,2,2,4,2,1,1,4,1,2,1,4,2,3,4,2,3,3,3,2,2,1,4
1,21,2,2,2,3,2,2,2,4,4,2,4,2,4,5,5,1,1,2,1,1,1,1,1,1,1,1,1,5,1,4,2,1,5,1,5,5,5,5,4,2,3,4,4,2,4,2,4,4,4,4,4,4,2,4,4
2,22,3,4,4,4,4,2,4,4,5,4,5,4,1,5,5,1,2,1,1,1,2,3,1,1,1,2,1,3,1,2,1,1,3,1,2,5,2,2,1,1,2,1,1,5,2,3,2,3,3,2,2,1,1,1,2
2,23,2,2,1,5,4,1,4,1,4,1,1,1,2,3,3,4,1,5,1,1,2,1,2,1,1,4,1,4,1,2,1,1,5,1,4,2,1,2,1,4,4,1,3,5,1,4,1,5,5,4,4,1,1,1,1
1,24,4,3,5,3,5,1,2,3,5,2,2,1,4,5,5,1,2,3,1,1,2,2,3,2,1,3,3,2,3,4,2,1,1,1,2,4,2,1,1,5,1,2,1,1,1,4,1,2,4,2,1,1,2,1,1
1,25,4,2,4,4,4,2,2,4,4,2,2,2,2,6,6,4,3,3,3,2,4,1,1,1,1,3,2,4,2,3,4,2,4,1,5,4,2,5,1,4,2,2,3,2,1,3,4,4,3,4,4,2,1,2,3
2,26,5,3,4,2,4,1,4,4,4,4,4,4,3,6,6,5,1,3,2,1,1,3,2,1,1,1,2,3,1,3,1,2,5,1,2,3,4,3,2,5,2,3,4,2,3,3,2,2,3,1,4,1,3,3,3
1,27,4,2,4,3,4,2,3,4,4,4,5,5,4,5,5,3,4,3,4,4,4,2,4,3,4,4,4,4,3,4,3,3,5,2,5,4,4,4,3,3,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4
2,28,4,3,4,2,4,2,4,4,4,4,4,4,4,3,5,2,1,1,1,1,2,2,2,1,1,2,1,1,1,2,1,1,2,1,2,2,2,2,1,1,1,1,1,2,1,2,1,1,2,2,2,2,1,1,2
1,29,4,1,5,4,5,1,4,5,4,3,5,2,4,5,6,2,1,4,5,2,5,2,3,1,1,5,4,5,1,5,4,2,5,1,5,4,4,5,5,2,4,5,3,1,4,1,2,4,3,4,5,4,4,5,5
1,30,4,4,5,2,2,4,4,4,5,4,2,4,4,5,6,2,2,4,2,2,2,2,2,4,2,2,4,4,4,4,2,2,5,5,5,5,2,4,2,4,2,4,2,5,1,5,2,2,5,4,2,2,2,2,5
2,31,4,3,3,5,4,2,3,4,4,4,5,2,1,6,5,5,1,4,3,5,3,5,2,3,4,4,5,4,5,5,1,2,5,3,5,5,4,4,4,5,4,4,5,1,5,2,4,3,5,4,4,5,4,5,4
1,32,4,2,5,3,4,1,5,4,2,4,4,3,4,5,6,1,2,3,1,1,3,2,3,1,2,3,3,3,2,3,1,2,3,1,4,2,3,3,1,4,2,2,2,3,2,3,2,4,4,2,5,3,3,3,4
2,33,1,1,1,5,1,3,1,2,2,2,2,2,1,7,6,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,3,1,2,2,1,2,1,5,1,2,1,4,2,2,2,2,2,1,2,1,1,1,2
1,34,3,2,3,2,3,2,3,3,2,4,4,2,4,3,3,4,5,4,4,3,4,3,4,3,4,4,4,3,3,5,4,3,4,3,4,4,3,3,2,2,4,2,4,3,3,2,4,2,5,4,3,4,3,4,3
1,35,4,4,4,5,3,1,2,3,4,5,5,4,2,5,3,1,2,3,2,2,2,1,3,1,2,4,3,3,1,2,2,2,4,1,3,3,3,2,1,2,2,4,3,2,3,2,2,1,2,3,5,1,1,3,4
2,36,5,1,5,1,5,2,4,5,4,5,5,5,5,6,7,5,1,5,1,1,5,1,5,1,5,5,1,1,1,1,1,1,1,1,5,1,4,5,1,3,5,3,1,1,3,3,1,1,5,1,5,1,5,5,5
2,37,4,1,5,1,4,2,4,4,3,5,5,4,2,5,6,4,1,1,1,1,1,1,3,1,3,2,2,2,1,1,1,1,2,1,2,4,4,5,2,4,4,1,3,3,4,2,5,5,5,2,4,3,1,2,4
1,38,2,3,4,4,2,1,2,1,4,4,5,3,1,5,6,4,2,2,4,4,2,5,2,2,4,5,5,5,4,2,1,1,4,5,5,5,2,5,2,5,4,2,3,3,3,4,4,3,2,4,5,4,3,1,3
2,39,5,1,5,1,4,2,4,4,4,5,5,4,3,5,5,3,1,2,1,1,2,1,3,1,1,4,2,3,2,3,2,2,3,2,2,3,4,3,1,5,4,1,2,2,2,5,4,4,4,3,2,1,1,2,4
3,40,4,2,2,2,4,3,2,4,2,4,1,2,2,2,5,4,3,4,4,4,5,3,3,1,3,4,2,3,4,3,4,2,5,5,5,3,1,5,1,5,4,3,2,2,5,3,4,4,2,4,2,4,2,3,5
1,41,2,4,1,4,2,4,2,1,5,2,4,1,1,5,5,3,2,1,1,2,4,2,2,2,1,1,3,3,4,3,2,1,1,1,1,2,1,3,1,4,2,1,3,1,1,5,4,1,1,3,4,1,4,2,4
2,42,2,2,2,3,1,2,1,1,4,5,2,4,2,6,5,1,1,2,1,1,3,1,4,1,1,1,4,1,2,2,1,1,5,2,4,2,5,2,3,4,1,5,2,4,4,2,1,1,4,5,5,2,5,1,5
2,43,2,2,2,4,2,4,2,3,2,4,4,4,1,4,2,4,2,1,3,1,4,1,4,1,2,4,5,5,4,4,3,3,4,1,4,3,2,4,5,1,5,5,5,1,2,1,4,4,4,4,4,4,4,4,4
1,44,1,5,1,5,1,4,1,1,4,1,1,1,1,5,5,1,1,4,1,1,1,2,1,1,1,1,4,4,1,1,1,1,4,1,1,1,1,1,2,4,1,1,1,5,1,4,1,2,4,1,2,1,2,2,1
3,45,4,3,4,4,4,1,4,4,5,5,5,3,2,6,7,1,1,2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,5,1,1,4,1,1,1,1,2,2
4,46,1,1,4,2,4,4,1,2,2,2,4,2,1,2,3,3,1,4,3,3,2,2,2,2,1,1,3,4,4,4,2,3,4,1,2,4,1,4,1,4,1,3,3,4,1,2,4,3,2,4,4,4,3,5,5
3,47,4,2,4,2,4,1,4,4,4,5,4,4,4,5,6,1,1,2,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,2,4,1,1,3,3,1,2,3,3,3,3,3,2,2,2,4
4,48,1,5,1,5,1,5,1,1,3,2,1,1,1,2,2,3,1,3,1,2,1,1,1,1,3,1,2,1,1,2,1,1,3,2,3,2,3,2,1,5,1,1,2,2,2,1,2,2,3,3,3,2,2,2,3
3,49,4,2,5,2,5,1,4,4,4,5,4,2,2,6,5,1,1,2,2,2,1,2,1,1,1,2,1,2,1,1,1,1,3,1,2,3,1,1,1,3,2,1,3,2,1,2,1,1,2,2,5,1,1,1,1
3,50,4,2,5,2,4,2,4,4,4,2,2,2,2,1,5,4,2,3,2,3,2,5,2,2,2,4,2,4,3,4,2,1,5,4,5,2,3,4,2,1,2,2,4,3,4,2,4,4,4,4,5,3,4,4,2
4,51,2,4,4,5,3,2,2,2,2,2,2,2,4,4,5,3,1,3,2,2,2,1,4,1,1,4,2,4,1,3,2,1,5,1,3,4,5,5,2,1,2,2,2,1,3,1,2,3,4,3,5,2,2,3,5
4,52,4,2,4,5,2,2,3,2,4,4,5,4,1,6,3,1,2,2,2,1,5,2,4,1,1,1,2,4,2,2,2,1,5,1,4,4,2,4,2,5,2,1,2,2,1,5,2,5,4,4,2,1,2,2,4
3,53,2,4,4,2,5,2,4,4,4,4,3,4,2,3,5,1,1,4,2,2,4,1,2,1,1,2,3,2,1,2,1,2,1,4,4,1,1,2,1,5,4,1,4,5,1,4,2,1,1,2,1,2,4,1,1
4,54,5,1,5,2,5,1,5,5,4,5,5,4,5,6,7,2,2,3,1,1,5,1,5,4,1,3,5,4,4,5,1,3,5,1,4,5,1,5,2,1,4,1,4,1,4,1,5,5,5,5,2,5,4,5,2
3,55,4,3,4,2,4,1,4,4,4,3,1,4,4,5,6,3,1,2,1,1,2,2,1,1,1,1,2,2,2,2,1,2,3,1,3,3,2,3,1,3,3,1,1,3,2,2,3,2,2,3,4,3,3,4,5
4,56,2,2,4,4,3,2,2,3,4,3,2,2,2,5,5,5,2,4,4,5,5,5,5,4,2,4,4,4,4,5,4,4,5,3,4,5,4,5,4,3,4,4,5,4,5,1,4,5,5,5,5,4,4,4,4
3,57,2,4,2,4,2,4,2,2,4,4,2,4,2,6,5,2,1,3,2,1,2,2,4,1,1,1,1,1,1,1,1,1,4,1,3,3,2,2,1,2,1,1,1,3,2,1,1,2,2,1,2,1,1,1,2
4,58,4,2,4,3,4,2,4,4,2,2,3,4,2,3,5,4,4,4,5,4,4,4,4,3,4,4,4,4,4,5,4,4,5,2,4,5,2,4,4,4,3,3,4,3,5,2,4,4,4,4,4,5,5,5,4
3,59,4,2,4,4,5,2,4,5,4,5,4,5,4,5,6,3,1,4,5,5,4,5,3,1,1,4,5,5,4,4,2,2,5,3,5,5,4,5,5,1,5,5,4,1,5,1,4,5,5,5,5,4,2,3,5
4,60,2,4,3,4,4,2,2,2,2,4,2,2,2,3,5,2,2,1,1,1,3,2,1,1,1,2,2,1,2,3,1,1,5,1,4,4,3,5,1,2,2,4,2,1,2,2,2,4,4,5,4,3,1,2,2
3,61,1,5,1,5,1,5,1,1,2,1,1,2,1,2,3,2,1,3,1,3,2,4,2,1,4,4,2,1,2,2,1,1,4,1,2,2,4,3,3,2,1,1,1,1,1,2,1,1,2,3,2,1,1,2,3
4,62,4,3,4,2,4,3,4,3,4,3,3,3,3,3,4,2,1,2,2,2,2,1,1,1,2,3,2,1,1,2,2,1,3,1,2,3,3,2,2,2,2,1,2,2,3,2,2,2,2,2,3,2,1,2,2
3,63,2,2,4,5,3,1,2,3,3,2,2,2,3,5,5,1,1,4,1,1,1,1,1,1,1,3,2,1,1,1,1,1,4,1,1,5,1,1,1,5,1,1,1,1,1,5,1,1,1,1,3,1,1,1,1
4,64,4,2,4,3,3,2,3,3,2,4,4,4,2,4,5,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,2,1,1,1,2,1,1,1,4,1,3,1,3,2,2,2,1,1,1,1
3,65,4,3,4,3,4,2,3,3,4,3,2,3,4,5,5,2,1,1,1,2,3,2,1,1,1,3,1,1,1,1,1,1,3,1,2,2,1,3,1,4,2,2,1,4,2,2,2,4,4,3,3,2,2,2,4
4,66,2,4,1,2,2,3,2,2,2,2,2,2,2,2,2,4,1,4,4,4,2,2,2,2,1,1,1,3,1,2,2,2,4,4,3,4,5,5,5,3,4,2,4,4,2,2,4,4,5,5,5,4,5,4,5
4,67,4,3,4,4,3,1,2,4,4,4,1,2,4,5,6,4,1,3,2,1,5,4,1,1,5,2,4,2,5,4,1,1,5,1,5,5,4,5,4,4,4,3,2,3,4,4,4,5,5,5,4,5,3,2,4
2,68,4,3,5,5,4,2,3,2,4,4,2,3,2,5,5,3,1,2,2,1,3,2,2,1,2,4,2,2,1,2,2,1,2,1,4,4,2,3,2,2,4,3,3,2,4,2,2,3,3,4,5,2,1,2,5
3,69,2,4,4,4,3,4,2,4,2,2,4,1,1,2,2,4,1,2,4,3,4,1,1,1,3,2,1,1,2,2,2,2,3,2,4,2,2,2,1,4,2,2,4,2,1,1,4,4,4,4,5,4,1,4,5
3,70,2,4,2,4,4,2,2,2,2,5,2,4,2,2,3,3,4,3,4,4,4,2,4,1,4,4,1,4,2,2,4,2,5,4,4,3,5,3,2,2,4,3,4,3,3,1,2,2,4,4,2,4,1,2,4
4,71,2,2,3,4,3,3,2,3,5,2,1,2,2,2,2,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,4,1,1,1,4,1,3,3,2,2,4,2,2,1,1,2
4,72,4,2,5,1,5,2,5,4,2,4,3,3,2,3,6,4,2,4,4,4,5,5,2,5,3,4,4,4,5,5,3,5,4,1,5,4,4,4,2,2,4,4,5,1,4,2,5,5,5,5,5,5,4,4,5
3,73,2,2,4,2,5,1,4,3,2,5,5,2,4,3,3,1,2,3,3,1,1,3,2,1,1,2,1,3,1,1,1,1,5,1,3,3,2,1,3,1,3,2,1,1,3,1,2,4,3,3,3,2,1,2,3
2,74,4,2,2,5,4,2,2,2,1,1,2,2,2,5,3,2,2,4,4,1,1,1,1,1,1,3,2,1,1,1,1,1,4,1,2,1,2,3,1,3,1,1,2,4,2,3,4,3,3,2,2,1,1,1,2
4,75,2,2,4,3,2,2,2,2,4,4,2,2,2,3,3,4,1,4,3,1,3,1,4,1,1,3,3,3,1,1,1,1,2,1,2,2,2,4,2,4,4,2,3,3,3,2,4,4,3,3,2,1,1,2,4
1,76,4,2,5,2,5,1,4,5,5,5,5,2,4,6,6,3,1,2,1,3,2,3,2,1,4,4,3,2,1,3,1,1,5,3,5,5,3,5,3,2,3,2,3,2,2,1,4,5,5,5,5,3,3,3,3
3,77,2,4,3,4,2,3,2,2,4,4,3,2,2,4,3,2,1,2,2,2,2,3,3,2,3,1,2,1,2,2,3,2,3,2,3,2,2,2,2,2,2,1,3,1,3,1,3,3,3,3,2,3,2,2,3
3,78,4,2,4,2,4,2,4,4,4,4,2,2,2,5,6,4,3,2,1,1,3,1,2,1,2,3,4,3,3,2,2,1,4,1,4,3,4,3,1,1,2,3,3,2,4,1,5,4,5,4,4,4,4,5,2
4,79,4,2,2,2,2,1,4,3,4,2,2,2,1,5,4,1,1,5,1,1,2,1,1,1,1,2,1,2,1,2,1,1,1,2,1,2,5,1,2,3,4,5,1,4,4,2,1,2,3,2,2,1,2,3,1
2,80,4,4,5,4,4,2,2,4,3,2,2,2,2,3,5,2,1,2,2,2,1,2,2,1,1,1,2,1,1,2,1,1,4,1,3,3,2,2,2,3,1,2,2,2,1,2,1,1,1,2,3,1,1,2,3
1,81,4,3,4,5,4,2,4,3,4,5,5,5,4,4,5,2,2,5,5,2,5,4,5,4,2,3,1,5,4,4,2,3,5,5,5,5,1,5,4,3,2,4,5,2,3,3,5,5,5,4,5,5,4,4,5
3,82,2,5,4,5,1,1,1,2,4,5,2,5,1,5,7,4,5,2,2,5,5,4,1,1,4,5,5,2,4,5,1,1,5,1,5,2,4,5,5,2,5,4,5,2,4,1,5,4,5,4,5,4,5,5,4
4,83,1,4,2,5,2,4,2,1,3,3,3,1,1,4,3,1,1,4,2,3,2,2,1,1,1,2,2,1,1,1,2,2,2,2,2,3,3,3,2,4,3,3,3,4,2,3,2,1,4,3,3,3,2,1,3
3,84,3,2,5,3,3,3,3,5,2,2,1,3,3,4,5,1,1,1,1,2,1,5,1,1,5,1,1,2,5,5,1,1,5,1,5,5,5,5,5,1,5,3,2,1,5,1,5,1,5,5,5,5,1,1,2
4,85,2,4,4,5,2,2,2,4,4,2,1,2,2,5,5,3,3,2,5,2,5,4,1,1,1,3,2,3,1,3,3,4,5,1,4,3,4,5,2,1,3,2,4,3,4,4,5,3,5,4,3,3,4,3,4
3,86,2,2,1,1,5,4,1,1,1,2,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,4,4,3,3,1,1,1,4,2,4,4,3,3,1,3,1,1,1,1
4,87,2,4,2,5,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,2,2,1,2,2,3,2,1,2,3,2,3,2,2,2,2,2,1,1,1,3
