no,Q10,Q9,Q31,Q32,Q46,Q50,Q54,Q58,Q62,Q66,Q70,Q74,Q78,Q82,Q86,Q90,Q94,Q98,1/5_1,1/5_2,1/5_3,1/5_4,1/5_5,1/5_6,1/5_7,1/5_8,1/5_9,2/5_1,2/5_2,2/5_3,2/5_4,2/5_5,3/5_1,QID7_1,Q34
126,1,36,,,,,1,4,,,,,,,,,,,4,2,5,2,4,1,4,4,5,4,4,1,2,2,5,5,
127,1,24,1,4,,,,,,,,,,,,,,,4,2,5,3,4,2,4,4,5,4,5,5,4,4,7,7,
128,1,38,,,,,,,,,,,1,4,,,,,4,2,4,2,4,2,4,4,5,3,4,4,5,4,3,5,
129,1,25,,,,,1,4,,,,,,,,,,,2,4,3,4,3,1,2,2,5,3,4,3,2,3,6,6,
130,1,40,,,,,,,1,4,,,,,,,,,1,5,3,5,2,3,1,2,5,2,2,2,2,2,6,6,
131,1,39,,,,,,,,,1,4,,,,,,,3,3,3,3,3,3,3,3,5,3,3,3,3,3,4,4,
132,1,36,,,,,,,,,,,,,1,4,,,2,3,4,3,2,2,3,1,5,4,4,4,4,2,5,5,
133,1,36,,,1,4,,,,,,,,,,,,,3,3,3,3,3,3,3,3,5,3,3,3,3,3,5,5,
134,1,36,1,4,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,5,3,3,3,3,3,4,4,
135,1,25,,,,,,,,,,,,,,,1,4,4,3,3,4,4,4,4,3,5,3,4,3,3,4,3,4,
136,1,19,1,4,,,,,,,,,,,,,,,3,2,4,3,3,1,3,3,5,4,4,3,3,3,6,6,
137,1,32,,,,,,,,,,,1,4,,,,,2,4,4,4,2,2,2,3,5,4,4,4,4,2,2,5,
138,1,35,,,1,4,,,,,,,,,,,,,4,2,5,2,5,1,5,5,5,4,5,4,4,4,3,5,
139,1,38,,,,,1,4,,,,,,,,,,,4,4,5,3,4,1,4,3,5,4,5,1,2,3,7,6,
140,1,34,,,,,,,,,,,,,,,1,4,3,3,3,5,3,3,3,1,5,2,1,1,3,1,5,5,
141,1,36,,,,,,,,,1,4,,,,,,,4,2,4,3,3,2,3,3,5,3,3,3,2,3,7,7,
142,1,37,,,,,,,1,4,,,,,,,,,5,2,5,5,5,2,4,5,5,5,5,4,5,5,6,6,
143,1,27,,,,,,,,,1,4,,,,,,,3,3,4,3,3,1,4,4,5,3,3,2,2,3,7,7,
144,1,40,,,,,,,,,,,1,4,,,,,2,4,2,4,2,4,3,2,5,4,3,4,4,3,5,5,
145,1,40,1,4,,,,,,,,,,,,,,,3,3,4,5,3,3,3,4,5,4,4,4,4,3,6,6,
146,1,40,,,,,,,1,4,,,,,,,,,2,3,3,2,2,3,2,2,5,2,3,2,2,2,4,4,
147,1,39,,,,,,,,,,,,,1,4,,,5,1,5,1,5,1,5,5,5,5,5,5,5,5,7,7,
148,1,36,,,1,4,,,,,,,,,,,,,3,3,4,4,4,1,3,3,5,5,3,5,3,2,4,5,
149,1,24,,,,,,,,,,,,,,,1,4,4,2,4,4,4,4,2,2,5,4,2,4,4,2,5,5,
150,1,24,,,,,,,,,1,4,,,,,,,3,2,3,2,2,3,3,3,5,2,4,2,3,2,3,3,
151,1,37,,,,,,,,,,,,,1,4,,,2,4,2,4,4,1,2,2,5,2,4,1,2,2,5,5,
152,1,39,,,,,1,4,,,,,,,,,,,4,1,4,1,4,1,4,5,5,4,4,4,5,5,5,5,
153,1,30,,,,,,,,,,,1,4,,,,,4,3,4,3,3,4,3,3,5,2,2,3,2,2,3,3,
154,1,39,,,,,,,1,4,,,,,,,,,1,5,2,5,1,4,1,1,5,3,2,1,1,2,7,7,
155,1,37,,,,,,,,,,,,,,,1,4,3,1,4,2,4,1,3,3,5,2,4,3,4,3,4,5,
156,1,36,1,4,,,,,,,,,,,,,,,3,3,3,3,3,2,3,3,5,3,4,3,3,3,6,6,
157,1,40,,,,,,,,,1,4,,,,,,,2,3,4,3,2,1,3,3,5,4,4,3,3,3,7,6,
158,1,33,1,4,,,,,,,,,,,,,,,2,3,4,4,3,1,3,3,5,2,1,2,1,2,5,6,
159,1,34,,,,,1,4,,,,,,,,,,,4,2,4,3,3,2,3,3,5,2,4,2,4,4,5,5,
160,1,34,,,,,,,1,4,,,,,,,,,4,3,4,2,4,1,4,4,5,1,2,2,2,2,2,3,
161,1,28,,,,,1,4,,,,,,,,,,,2,4,2,2,3,3,2,2,5,3,4,4,3,3,5,5,
162,1,30,,,,,,,1,4,,,,,,,,,3,3,4,4,5,3,5,4,5,4,4,3,5,4,6,6,
163,1,32,,,,,,,,,,,,,1,4,,,2,4,3,3,2,3,2,2,5,3,1,2,1,1,7,6,
164,1,24,,,,,,,,,,,,,,,1,4,3,4,4,3,3,1,3,3,5,3,2,3,2,3,5,5,
165,1,32,,,1,4,,,,,,,,,,,,,2,4,3,4,2,3,2,2,5,2,2,2,2,2,6,6,
166,1,20,,,,,,,,,,,1,4,,,,,1,5,1,5,1,1,1,1,5,1,2,1,5,1,2,2,
167,1,34,,,,,,,,,1,4,,,,,,,1,3,4,4,3,2,3,1,5,3,3,2,3,1,7,7,
168,1,21,,,,,,,,,,,,,1,4,,,4,2,4,2,4,2,4,4,5,4,4,4,4,4,6,6,
169,1,40,1,4,,,,,,,,,,,,,,,4,2,4,2,4,2,4,4,5,4,3,4,3,3,6,6,
170,1,38,,,1,4,,,,,,,,,,,,,1,2,4,4,1,2,2,2,5,2,2,4,1,2,5,6,
171,1,38,,,,,,,,,1,4,,,,,,,3,3,4,2,3,2,3,3,5,4,4,4,4,4,5,6,
172,1,23,,,,,,,,,,,1,4,,,,,4,2,4,2,4,1,4,4,5,4,3,4,4,4,5,6,
173,1,39,,,,,1,4,,,,,,,,,,,4,3,4,2,4,1,3,4,5,2,2,2,4,2,5,6,
174,1,38,,,,,,,,,,,,,,,1,4,2,3,2,4,2,1,2,3,5,1,2,1,2,2,4,3,
175,1,22,,,,,,,1,4,,,,,,,,,4,1,5,2,5,1,4,4,5,5,4,4,4,4,3,6,
176,1,31,,,,,,,,,,,1,4,,,,,4,3,4,3,3,2,4,4,3,3,4,4,3,3,3,3,
177,1,39,,,,,,,,,,,,,,,1,4,3,4,3,5,1,3,2,1,5,4,5,1,5,5,6,6,
178,1,34,,,,,,,,,,,,,1,4,,,4,2,2,2,4,1,2,4,5,4,5,5,5,5,7,7,
179,1,27,1,4,,,,,,,,,,,,,,,1,5,4,5,2,3,2,2,5,3,5,4,2,2,6,5,
180,1,30,,,,,1,4,,,,,,,,,,,4,2,4,2,5,1,4,4,5,4,4,4,4,3,5,6,
181,1,33,,,1,4,,,,,,,,,,,,,4,1,5,2,4,2,4,4,5,3,4,4,4,4,5,5,
182,1,38,,,,,,,,,1,4,,,,,,,2,2,4,3,4,1,2,2,5,2,2,4,3,2,3,3,
183,1,30,,,,,,,,,1,4,,,,,,,3,2,3,4,2,3,2,2,5,2,4,2,2,2,4,5,
184,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,1,40,,,,,,,,,,,,,,,1,4,4,2,5,2,4,1,4,4,5,3,4,4,4,4,6,6,
186,1,38,,,,,,,1,4,,,,,,,,,4,2,4,2,4,2,4,4,5,4,4,4,4,4,6,6,
187,1,35,,,,,,,,,,,1,4,,,,,3,3,3,3,3,3,3,2,5,3,3,3,3,3,3,4,
188,1,39,,,1,4,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,
189,1,37,,,,,,,,,,,,,1,4,,,2,3,3,4,3,1,3,3,5,4,4,3,4,4,4,6,
190,1,30,,,,,,,,,,,,,,,1,4,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,
191,1,38,,,,,,,,,,,1,4,,,,,2,3,3,3,3,2,3,2,5,3,2,2,2,3,2,2,
192,1,37,,,1,4,,,,,,,,,,,,,2,4,4,2,2,1,2,3,5,4,2,1,1,1,6,6,
193,1,27,1,6,,,,,,,,,,,,,,,2,2,4,1,2,2,2,2,2,3,3,3,1,4,2,2,
194,1,39,,,,,,,,,1,4,,,,,,,4,2,4,3,4,1,3,3,5,4,4,5,3,5,4,5,
195,1,38,,,,,,,,,,,,,,,1,4,4,1,5,1,5,1,4,4,5,4,4,4,4,5,6,6,
196,1,33,,,,,,,,,1,4,,,,,,,5,1,4,2,4,2,4,4,5,5,5,4,4,4,5,6,
197,1,28,,,,,,,,,,,,,1,4,,,3,3,3,3,4,2,3,4,5,3,4,2,2,3,5,5,
198,1,37,1,4,,,,,,,,,,,,,,,4,2,5,5,4,1,5,5,5,5,5,5,5,4,6,7,
199,1,36,,,,,,,1,4,,,,,,,,,2,3,4,3,3,1,3,4,5,2,4,1,2,3,1,6,
200,1,40,,,,,1,4,,,,,,,,,,,3,3,4,3,3,3,3,3,5,2,2,2,2,2,5,5,
201,1,35,,,,,,,,,,,,,,,1,4,4,2,4,2,3,2,3,3,5,3,5,1,4,4,2,5,
202,1,38,1,4,,,,,,,,,,,,,,,3,3,4,3,3,2,3,3,5,3,4,5,4,3,7,7,
203,1,36,,,,,,,,,1,4,,,,,,,3,4,4,4,2,1,2,1,5,3,3,3,5,2,5,6,
204,1,37,,,,,,,1,4,,,,,,,,,3,4,4,4,3,2,3,3,5,1,2,3,3,2,6,5,
205,1,33,,,,,,,,,,,1,4,,,,,3,2,4,3,3,2,2,4,5,2,3,3,2,2,5,5,
206,1,33,,,,,,,,,,,,,1,4,,,3,2,4,2,3,1,3,3,5,4,4,2,4,4,7,7,
207,1,38,,,,,1,4,,,,,,,,,,,2,4,3,3,2,3,2,2,5,3,2,2,2,2,6,6,
208,1,26,,,1,4,,,,,,,,,,,,,4,1,5,3,5,1,5,4,5,5,4,5,4,5,7,7,
209,1,25,,,,,1,4,,,,,,,,,,,3,3,4,3,3,3,4,4,5,4,3,4,3,5,6,5,
210,1,35,1,4,,,,,,,,,,,,,,,4,2,4,2,4,2,4,4,5,3,4,4,3,2,4,6,
211,1,34,,,,,,,,,1,4,,,,,,,3,2,4,3,2,2,2,3,5,3,4,3,2,2,2,5,
212,1,22,,,,,,,,,,,1,4,,,,,4,2,5,4,4,2,4,4,5,2,4,3,4,4,7,7,
213,1,37,,,,,,,1,4,,,,,,,,,3,2,4,2,3,2,3,3,5,4,4,3,2,2,3,3,
214,1,37,1,4,,,,,,,,,,,,,,,4,2,4,2,4,2,4,4,5,2,4,1,1,1,1,2,
215,1,39,,,,,,,1,4,,,,,,,,,3,2,5,2,4,2,2,3,5,4,4,2,4,2,7,7,
216,1,37,,,,,1,4,,,,,,,,,,,3,2,3,3,4,2,3,4,5,4,3,3,4,3,5,6,
217,1,39,,,,,,,,,,,,,1,4,,,5,1,5,1,5,1,4,5,5,4,5,5,5,4,6,7,
218,1,36,,,,,,,,,,,,,,,1,4,3,4,3,3,3,2,3,4,5,3,3,2,4,3,4,4,
219,1,39,,,,,,,,,1,4,,,,,,,5,2,5,2,4,2,5,5,5,4,4,4,4,4,7,7,
220,1,40,,,1,4,,,,,,,,,,,,,1,5,1,5,2,3,1,2,5,4,2,4,1,1,5,5,
221,1,31,,,,,,,,,,,1,4,,,,,4,2,4,3,4,1,3,3,5,3,4,3,3,4,5,5,
222,1,40,,,,,,,1,4,,,,,,,,,1,5,2,5,1,4,1,1,5,1,2,3,1,1,3,1,
223,1,25,,,1,4,,,,,,,,,,,,,4,2,1,2,3,3,3,3,2,2,3,1,3,1,5,3,
224,1,40,1,4,,,,,,,,,,,,,,,5,1,5,1,5,1,5,5,5,4,4,4,3,4,7,7,
225,1,40,,,,,,,,,,,,,1,4,,,3,3,3,3,2,2,3,3,5,2,2,2,3,2,5,5,
226,1,36,,,,,,,,,,,1,4,,,,,2,4,4,5,1,1,2,1,5,2,4,3,4,2,1,5,
227,1,36,,,,,1,4,,,,,,,,,,,3,4,4,4,3,2,3,2,5,4,4,4,4,3,7,6,
228,1,39,,,,,,,,,,,1,4,,,,,3,3,4,3,4,2,3,3,5,2,4,4,4,3,2,3,
229,1,38,,,,,,,,,,,,,,,1,4,3,4,3,3,3,2,3,3,5,3,1,1,1,1,2,2,
230,1,34,,,1,4,,,,,,,,,,,,,3,3,4,3,4,2,3,2,5,2,3,3,3,4,3,5,
231,1,39,,,,,,,,,1,4,,,,,,,4,2,4,2,4,2,4,4,5,4,4,3,3,4,2,5,
232,1,36,,,,,1,4,,,,,,,,,,,4,1,5,1,5,1,5,4,5,4,5,1,5,3,5,5,
233,1,33,,,,,1,4,,,,,,,,,,,4,3,2,2,2,2,2,2,5,3,3,4,2,2,3,3,
234,1,35,,,1,4,,,,,,,,,,,,,5,1,4,4,4,1,4,4,5,4,4,5,3,2,6,6,
235,1,39,1,4,,,,,,,,,,,,,,,1,4,3,5,3,2,1,2,5,3,4,4,2,2,7,6,
236,1,18,,,,,,,,,,,1,4,,,,,4,4,3,4,4,3,4,4,5,4,3,4,4,4,2,5,
237,1,37,,,,,,,,,,,,,,,1,4,4,1,5,1,5,1,4,4,5,2,4,1,4,2,5,6,
238,1,37,,,,,,,,,,,1,4,,,,,3,3,2,4,3,3,3,2,5,2,2,2,2,2,2,2,
239,1,33,,,,,,,1,4,,,,,,,,,2,4,2,4,1,3,2,2,5,1,3,3,1,1,4,4,
